run_name,model,data_setting,preprocess_profile,affine_setting,checkpoint,checkpoint_epoch,checkpoint_accuracy,val_loss,val_acc,val_error_percent,macro_f1,misclassified_count,val_samples,inference_seconds,inference_ms_per_image,test_submission
simple_cnn_plain,simple_cnn,plain,plain,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_plain\best.pt,6,0.996471,0.013301,0.996471,0.352941,0.996472,6,1700,0.795710,0.468065,
simple_cnn_centered,simple_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_centered\best.pt,6,0.995294,0.015338,0.995294,0.470588,0.995292,8,1700,0.985044,0.579438,
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_centered_mild_bootstrap\best.pt,4,0.997059,0.010904,0.997059,0.294118,0.997057,5,1700,0.993399,0.584353,
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_centered_strong_bootstrap\best.pt,7,0.997059,0.007549,0.997059,0.294118,0.997061,5,1700,0.922720,0.542777,
improved_cnn_plain,improved_cnn,plain,plain,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_plain\best.pt,5,1.000000,0.001438,1.000000,0.000000,1.000000,0,1700,0.826288,0.486052,
improved_cnn_centered,improved_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_centered\best.pt,7,0.997647,0.007199,0.997647,0.235294,0.997647,4,1700,0.971582,0.571519,
improved_cnn_centered_mild_bootstrap,improved_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_centered_mild_bootstrap\best.pt,5,0.998824,0.005073,0.998824,0.117647,0.998824,2,1700,0.952532,0.560313,
improved_cnn_centered_strong_bootstrap,improved_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_centered_strong_bootstrap\best.pt,7,0.999412,0.001301,0.999412,0.058824,0.999412,1,1700,0.970471,0.570865,
strided_cnn_plain,strided_cnn,plain,plain,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\strided_cnn_plain\best.pt,5,0.999412,0.005808,0.999412,0.058824,0.999412,1,1700,0.841783,0.495166,
strided_cnn_centered,strided_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\strided_cnn_centered\best.pt,6,0.997647,0.008706,0.997647,0.235294,0.997649,4,1700,1.021603,0.600943,
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\strided_cnn_centered_mild_bootstrap\best.pt,8,0.998824,0.002919,0.998824,0.117647,0.998825,2,1700,1.001335,0.589021,
strided_cnn_centered_strong_bootstrap,strided_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\strided_cnn_centered_strong_bootstrap\best.pt,4,0.999412,0.004921,0.999412,0.058824,0.999412,1,1700,0.990264,0.582508,
deotte_cnn_plain,deotte_cnn,plain,plain,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\deotte_cnn_plain\best.pt,6,0.999412,0.004549,0.999412,0.058824,0.999412,1,1700,0.803695,0.472762,
deotte_cnn_centered,deotte_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\deotte_cnn_centered\best.pt,7,0.998824,0.007502,0.998824,0.117647,0.998824,2,1700,0.987982,0.581166,
deotte_cnn_centered_mild_bootstrap,deotte_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\deotte_cnn_centered_mild_bootstrap\best.pt,6,0.999412,0.003308,0.999412,0.058824,0.999412,1,1700,0.952495,0.560291,
deotte_cnn_centered_strong_bootstrap,deotte_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\deotte_cnn_centered_strong_bootstrap\best.pt,5,0.999412,0.002818,0.999412,0.058824,0.999412,1,1700,1.038983,0.611167,
