image_file,true_label,wrong_count,predicted_labels,conditions,max_confidence,preprocess_profile
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\77775.png,5,10,2;2;2;2;2;2;2;2;2;2,simple_cnn_centered_mild_bootstrap;improved_cnn_centered;improved_cnn_centered_mild_bootstrap;improved_cnn_centered_strong_bootstrap;strided_cnn_centered;strided_cnn_centered_mild_bootstrap;strided_cnn_centered_strong_bootstrap;deotte_cnn_centered;deotte_cnn_centered_mild_bootstrap;deotte_cnn_centered_strong_bootstrap,0.998593,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\2\9757.png,2,5,3;5;3;3;3,simple_cnn_plain;simple_cnn_centered;improved_cnn_centered;strided_cnn_centered;deotte_cnn_centered,0.681489,plain
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\3\43650.png,3,4,2;2;2;2,strided_cnn_plain;strided_cnn_centered;strided_cnn_centered_mild_bootstrap;deotte_cnn_plain,0.932305,plain
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\0\99527.png,0,3,8;8;8,simple_cnn_plain;simple_cnn_centered;simple_cnn_centered_strong_bootstrap,0.983715,plain
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\6\7133.png,6,3,3;1;1,simple_cnn_plain;simple_cnn_centered_mild_bootstrap;simple_cnn_centered_strong_bootstrap,0.959069,plain
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\7\5740.png,7,3,6;6;6,simple_cnn_centered_strong_bootstrap;improved_cnn_centered_mild_bootstrap;strided_cnn_centered,0.928895,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\3\5217.png,3,2,2;2,simple_cnn_plain;simple_cnn_centered,0.991381,plain
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\3\49594.png,3,2,2;2,simple_cnn_plain;simple_cnn_centered,0.933523,plain
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\1\4796.png,1,1,6,simple_cnn_centered_strong_bootstrap,0.897580,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\9\78978.png,9,1,6,simple_cnn_plain,0.853604,plain
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\9\30694.png,9,1,4,improved_cnn_centered,0.778330,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\3\18768.png,3,1,2,simple_cnn_centered,0.728991,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\4\77498.png,4,1,7,simple_cnn_centered,0.705854,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\10018.png,5,1,4,simple_cnn_centered_mild_bootstrap,0.679518,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\2\6947.png,2,1,3,simple_cnn_centered_strong_bootstrap,0.651368,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\6\44717.png,6,1,0,simple_cnn_centered_mild_bootstrap,0.640505,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\5501.png,5,1,4,improved_cnn_centered,0.636563,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\2\43622.png,2,1,3,simple_cnn_centered,0.531763,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\0\76264.png,0,1,7,simple_cnn_centered,0.518485,centered
C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\7\10282.png,7,1,4,simple_cnn_centered_mild_bootstrap,0.517174,centered
