run_name,model,data_setting,preprocess_profile,affine_setting,epoch,train_loss,train_acc,val_loss,val_acc,lr
simple_cnn_plain,simple_cnn,plain,plain,none,1,0.282259,0.912353,0.068001,0.977647,0.001000
simple_cnn_plain,simple_cnn,plain,plain,none,2,0.050544,0.985359,0.032645,0.988824,0.000962
simple_cnn_plain,simple_cnn,plain,plain,none,3,0.022584,0.994248,0.026278,0.990588,0.000854
simple_cnn_plain,simple_cnn,plain,plain,none,4,0.011209,0.996928,0.019813,0.993529,0.000691
simple_cnn_plain,simple_cnn,plain,plain,none,5,0.004989,0.998954,0.015933,0.994706,0.000500
simple_cnn_plain,simple_cnn,plain,plain,none,6,0.003181,0.999412,0.013301,0.996471,0.000309
simple_cnn_plain,simple_cnn,plain,plain,none,7,0.001348,0.999935,0.013264,0.995294,0.000146
simple_cnn_plain,simple_cnn,plain,plain,none,8,0.000917,1.000000,0.012884,0.996471,0.000038
simple_cnn_centered,simple_cnn,centered,centered,none,1,0.319601,0.899804,0.087145,0.972941,0.001000
simple_cnn_centered,simple_cnn,centered,centered,none,2,0.060247,0.981895,0.036354,0.988235,0.000962
simple_cnn_centered,simple_cnn,centered,centered,none,3,0.033631,0.990261,0.035174,0.990000,0.000854
simple_cnn_centered,simple_cnn,centered,centered,none,4,0.021475,0.993725,0.026112,0.992941,0.000691
simple_cnn_centered,simple_cnn,centered,centered,none,5,0.011305,0.997451,0.018252,0.994118,0.000500
simple_cnn_centered,simple_cnn,centered,centered,none,6,0.006729,0.998693,0.015338,0.995294,0.000309
simple_cnn_centered,simple_cnn,centered,centered,none,7,0.003806,0.999477,0.014146,0.994118,0.000146
simple_cnn_centered,simple_cnn,centered,centered,none,8,0.002879,0.999673,0.013660,0.994706,0.000038
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,1,0.303435,0.900915,0.034599,0.987647,0.001000
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,2,0.064240,0.980163,0.025360,0.988824,0.000962
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,3,0.031091,0.990327,0.010304,0.995294,0.000854
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,4,0.014362,0.995817,0.010904,0.997059,0.000691
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,5,0.005851,0.998693,0.007492,0.996471,0.000500
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,6,0.002348,0.999641,0.005348,0.997059,0.000309
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,7,0.001115,0.999967,0.005589,0.997059,0.000146
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,8,0.000705,0.999967,0.005078,0.997059,0.000038
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,1,0.318698,0.897908,0.022574,0.991176,0.001000
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,2,0.071202,0.977495,0.031156,0.990588,0.000962
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,3,0.032212,0.989739,0.015017,0.994706,0.000854
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,4,0.017397,0.994728,0.010484,0.995882,0.000691
