run_name,model,data_setting,preprocess_profile,affine_setting,bootstrap_copies_per_original,parameters,device,epochs,best_epoch,best_val_acc,best_val_loss,final_train_acc,final_val_acc,generalization_gap,train_samples,original_train_images,val_samples,training_seconds,seconds_per_epoch,checkpoint,training_log
simple_cnn_plain,simple_cnn,plain,plain,none,0,544522,cuda,8,6,0.996471,0.013301,1.000000,0.996471,0.003529,15300,15300,1700,96.013711,12.001714,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_plain\best.pt,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_plain\training_log.csv
simple_cnn_centered,simple_cnn,centered,centered,none,0,544522,cuda,8,6,0.995294,0.015338,0.999673,0.994706,0.004967,15300,15300,1700,106.473051,13.309131,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_centered\best.pt,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_centered\training_log.csv
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,1,544522,cuda,8,4,0.997059,0.010904,0.999967,0.997059,0.002908,30600,15300,1700,215.719245,26.964906,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_centered_mild_bootstrap\best.pt,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_centered_mild_bootstrap\training_log.csv
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,2,544522,cuda,8,7,0.997059,0.007549,1.000000,0.997059,0.002941,45900,15300,1700,321.568874,40.196109,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_centered_strong_bootstrap\best.pt,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\simple_cnn_centered_strong_bootstrap\training_log.csv
improved_cnn_plain,improved_cnn,plain,plain,none,0,813994,cuda,8,5,1.000000,0.001438,0.999739,0.999412,0.000327,15300,15300,1700,93.655388,11.706923,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_plain\best.pt,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_plain\training_log.csv
improved_cnn_centered,improved_cnn,centered,centered,none,0,813994,cuda,8,7,0.997647,0.007199,0.999739,0.997647,0.002092,15300,15300,1700,115.948228,14.493528,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_centered\best.pt,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_centered\training_log.csv
improved_cnn_centered_mild_bootstrap,improved_cnn,centered_mild_bootstrap,centered,mild,1,813994,cuda,8,5,0.998824,0.005073,0.999869,0.998824,0.001046,30600,15300,1700,232.382837,29.047855,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_centered_mild_bootstrap\best.pt,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_centered_mild_bootstrap\training_log.csv
improved_cnn_centered_strong_bootstrap,improved_cnn,centered_strong_bootstrap,centered,strong,2,813994,cuda,8,7,0.999412,0.001301,0.999695,0.999412,0.000283,45900,15300,1700,348.143463,43.517933,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_centered_strong_bootstrap\best.pt,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\improved_cnn_centered_strong_bootstrap\training_log.csv
strided_cnn_plain,strided_cnn,plain,plain,none,0,272490,cuda,8,5,0.999412,0.005808,0.996863,0.999412,-0.002549,15300,15300,1700,95.329112,11.916139,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\strided_cnn_plain\best.pt,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\strided_cnn_plain\training_log.csv
strided_cnn_centered,strided_cnn,centered,centered,none,0,272490,cuda,8,6,0.997647,0.008706,0.995294,0.997059,-0.001765,15300,15300,1700,116.452019,14.556502,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\strided_cnn_centered\best.pt,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\experiments\runs\strided_cnn_centered\training_log.csv
